"","V1","V2"
"101",23964733.8159442,23964733.8159442
"102",24402430.4052484,24402430.4052484
"103",24787291.2194353,24787291.2194353
"104",25126638.8187687,25126638.8187687
"105",25426769.5501781,25426769.5501781
"106",25693097.484228,25693097.484228
"107",25930278.1622097,25930278.1622097
"108",26142314.9853824,26142314.9853824
"109",26332650.6811378,26332650.6811378
"110",26504245.9393429,26504245.9393429
"111",26659647.0184915,26659647.0184915
"112",26801043.868865,26801043.868865
"113",26930320.1028759,26930320.1028759
"114",27049095.9561842,27049095.9561842
"115",27158765.2227688,27158765.2227688
"116",27260527.0092222,27260527.0092222
"117",27355413.0349727,27355413.0349727
"118",27444311.1032054,27444311.1032054
"119",27527985.2796139,27527985.2796139
"120",27607093.2407738,27607093.2407738
"121",27682201.1891529,27682201.1891529
"122",27753796.6760838,27753796.6760838
"123",27822299.6261469,27822299.6261469
"124",27888071.815252,27888071.815252
"125",27951425.0193135,27951425.0193135
"126",28012628.0199971,28012628.0199971
"127",28071912.6278531,28071912.6278531
"128",28129478.8606661,28129478.8606661
"129",28185499.3955192,28185499.3955192
"130",28240123.3964466,28240123.3964466
"131",28293479.8052592,28293479.8052592
"132",28345680.1708447,28345680.1708447
"133",28396821.0816772,28396821.0816772
"134",28446986.2571951,28446986.2571951
"135",28496248.3458955,28496248.3458955
"136",28544670.4712836,28544670.4712836
"137",28592307.5610455,28592307.5610455
"138",28639207.4898483,28639207.4898483
"139",28685412.0619128,28685412.0619128
"140",28730957.8558296,28730957.8558296
"141",28775876.9509431,28775876.9509431
"142",28820197.5519144,28820197.5519144
"143",28863944.5257448,28863944.5257448
"144",28907139.8635385,28907139.8635385
"145",28949803.0775601,28949803.0775601
"146",28991951.5426631,28991951.5426631
"147",29033600.7898912,29033600.7898912
"148",29074764.7589609,29074764.7589609
"149",29115456.0153917,29115456.0153917
"150",29155685.9372435,29155685.9372435
"151",29195464.8757214,29195464.8757214
"152",29234802.2933157,29234802.2933157
"153",29273706.8826254,29273706.8826254
"154",29312186.6685748,29312186.6685748
"155",29350249.0963526,29350249.0963526
"156",29387901.1070744,29387901.1070744
"157",29425149.2028911,29425149.2028911
"158",29461999.5030225,29461999.5030225
"159",29498457.7919885,29498457.7919885
"160",29534529.5611314,29534529.5611314
"161",29570220.0443707,29570220.0443707
"162",29605534.2489976,29605534.2489976
"163",29640476.9822057,29640476.9822057
"164",29675052.8739539,29675052.8739539
"165",29709266.3966772,29709266.3966772
"166",29743121.8822851,29743121.8822851
"167",29776623.5368295,29776623.5368295
"168",29809775.4531662,29809775.4531662
"169",29842581.621893,29842581.621893
"170",29875045.9408046,29875045.9408046
"171",29907172.2230715,29907172.2230715
"172",29938964.2043218,29938964.2043218
"173",29970425.5487803,29970425.5487803
"174",30001559.8545937,30001559.8545937
"175",30032370.6584594,30032370.6584594
"176",30062861.4396514,30062861.4396514
"177",30093035.6235304,30093035.6235304
"178",30122896.5846079,30122896.5846079
