"","V1","V2"
"150",5622.12092753152,5622.12092753152
"151",4833.50851146106,4833.50851146106
"152",4155.51441022175,4155.51441022175
"153",3572.62224171419,3572.62224171419
"154",3071.49209989379,3071.49209989379
"155",2640.65526143715,2640.65526143715
"156",2270.25171576929,2270.25171576929
"157",1951.80451163791,1951.80451163791
"158",1678.02575599385,1678.02575599385
"159",1442.64982532283,1442.64982532283
"160",1240.28997234987,1240.28997234987
"161",1066.31504645794,1066.31504645794
"162",916.74350647886,916.74350647886
"163",788.152300263268,788.152300263268
"164",677.5985256729,677.5985256729
"165",582.552080150906,582.552080150906
"166",500.837757507122,500.837757507122
"167",430.585466761675,430.585466761675
"168",370.187433769375,370.187433769375
"169",318.261406153322,318.261406153322
"170",273.619019466212,273.619019466212
"171",235.2386006162,235.2386006162
"172",202.241786144187,202.241786144187
"173",173.873420245021,173.873420245021
"174",149.484272484362,149.484272484362
"175",128.516179693767,128.516179693767
"176",110.489272005578,110.489272005578
"177",94.9909906862459,94.9909906862459
"178",81.6666464333204,81.6666464333204
"179",70.2113020559396,70.2113020559396
"180",60.3627937681432,60.3627937681432
"181",51.8957313822832,51.8957313822832
"182",44.616340092652,44.616340092652
"183",38.3580257998401,38.3580257998401
"184",32.9775624850841,32.9775624850841
"185",28.3518143799299,28.3518143799299
"186",24.3749179157063,24.3749179157063
"187",20.9558589597005,20.9558589597005
"188",18.0163898913435,18.0163898913435
"189",15.4892388491979,15.4892388491979
"190",13.3165701660784,13.3165701660784
"191",11.4486607582575,11.4486607582575
"192",9.84276217697162,9.84276217697162
"193",8.46212227945938,8.46212227945938
"194",7.27514412977056,7.27514412977056
