"","simTime","pop","fidelity","theStart","endFur","peri_EmFu_FuEm_ratio","peri_EmFu_FuEm_damp","peri_EmUn_UnEm_ratio","peri_EmUn_UnEm_damp","post_FuEm_FuUn_ratio","post_FuEm_FuUn_damp","post_EmUn_UnEm_ratio","post_EmUn_UnEm_damp","scores"
"1",194,34326606,10,18435,101,0.39,100,0.041,100,0.5,10,0.041,10,1259857.91616594
"2",194,34326606,10,18435,101,0.39,100,0.041,100,0.5,10,0.041,10,1259857.91616594
