"","V1","V2"
"144",5405543.34388998,5405543.34388998
"145",5364833.0738249,5364833.0738249
"146",5324363.61409339,5324363.61409339
"147",5284157.85889585,5284157.85889585
"148",5244234.90386801,5244234.90386801
"149",5204610.58498816,5204610.58498816
"150",5165297.94182902,5165297.94182902
"151",5126307.61576718,5126307.61576718
"152",5087648.19227409,5087648.19227409
"153",5049326.49513292,5049326.49513292
"154",5011347.83932532,5011347.83932532
"155",4973716.24838602,4973716.24838602
"156",4936434.64120993,4936434.64120993
"157",4899504.99259736,4899504.99259736
"158",4862928.47122156,4862928.47122156
"159",4826705.55818623,4826705.55818623
"160",4790836.14889628,4790836.14889628
"161",4755319.64058289,4755319.64058289
"162",4720155.00749593,4720155.00749593
"163",4685340.8654941,4685340.8654941
"164",4650875.52752048,4650875.52752048
"165",4616757.05124274,4616757.05124274
"166",4582983.2799574,4582983.2799574
"167",4549551.87770376,4549551.87770376
"168",4516460.35940007,4516460.35940007
"169",4483706.11670084,4483706.11670084
"170",4451286.44017592,4451286.44017592
"171",4419198.53832796,4419198.53832796
"172",4387439.55389204,4387439.55389204
"173",4356006.5777995,4356006.5777995
"174",4324896.66113382,4324896.66113382
"175",4294106.82536099,4294106.82536099
"176",4263634.07107669,4263634.07107669
"177",4233475.38547898,4233475.38547898
"178",4203627.74874569,4203627.74874569
"179",4174088.13947062,4174088.13947062
"180",4144853.53929114,4144853.53929114
"181",4115920.93682096,4115920.93682096
"182",4087287.33098617,4087287.33098617
"183",4058949.73384852,4058949.73384852
"184",4030905.17298856,4030905.17298856
"185",4003150.69351059,4003150.69351059
"186",3975683.35972318,3975683.35972318
"187",3948500.25654094,3948500.25654094
"188",3921598.49064735,3921598.49064735
"189",3894975.19145244,3894975.19145244
"190",3868627.51187452,3868627.51187452
"191",3842552.62897125,3842552.62897125
"192",3816747.74444134,3816747.74444134
"193",3791210.08501572,3791210.08501572
"194",3765936.90275391,3765936.90275391
