"","Em","Fu","Un"
"2021-03-05",31722190.1703341,0.000532925885097649,2604415.82913305
"2021-03-06",31735167.3231279,0.000458172606886347,2591438.67641405
"2021-03-07",31748010.0148439,0.000393904937949424,2578595.98476227
"2021-03-08",31760719.6386836,0.000338652066511318,2565886.36097789
"2021-03-09",31773297.5734126,0.000291149490913748,2553308.4262964
"2021-03-10",31785745.1835107,0.000250310080586801,2540860.81623905
"2021-03-11",31798063.81932,0.000215199196284812,2528542.1804649
"2021-03-12",31810254.8171908,0.000185013300195754,2516351.18262427
"2021-03-13",31822319.4996272,0.000159061566401119,2504286.50021381
"2021-03-14",31834259.1754303,0.000136750070828466,2492346.8244331
"2021-03-15",31846075.13984,0.000117568198872326,2480530.86004258
"2021-03-16",31857768.6746759,0.000101076959612116,2468837.32522311
"2021-03-17",31869341.0484763,8.6898939189534e-05,2457264.95143694
"2021-03-18",31880793.5166354,7.47096634212684e-05,2445812.48329003
"2021-03-19",31892127.3215399,6.42301719741988e-05,2434478.67839595
"2021-03-20",31903343.6927039,5.52206341577588e-05,2423262.30724104
"2021-03-21",31914443.8469016,4.74748602262803e-05,2412162.15305108
"2021-03-22",31925428.9883,4.08155825785309e-05,2401177.01165927
"2021-03-23",31936300.3085894,3.5090398861305e-05,2390305.69137562
"2021-03-24",31947058.9871123,3.01682841320795e-05,2379547.01285766
"2021-03-25",31957706.1909917,2.59365922590722e-05,2368899.8089825
"2021-03-26",31968243.0752576,2.22984779335872e-05,2358362.92472026
"2021-03-27",31978670.7829722,1.91706802955486e-05,2347935.21700871
"2021-03-28",31988990.4453543,1.64816174489007e-05,2337615.55462932
"2021-03-29",31999203.1819014,1.41697482584894e-05,2327402.81808452
"2021-03-30",32009310.1005117,1.21821639369718e-05,2317295.89947627
"2021-03-31",32019312.2976038,1.04733771892062e-05,2307293.70238587
"2021-04-01",32029210.8582361,9.00428120282303e-06,2297395.14175499
"2021-04-02",32039006.8562244,7.74125466072873e-06,2287599.14376802
"2021-04-03",32048701.3542579,6.65539229310896e-06,2277904.64573552
"2021-04-04",32058295.4040154,5.72184335956266e-06,2268310.59597897
"2021-04-05",32067790.0462785,4.91924292205435e-06,2258815.9537167
"2021-04-06",32077186.311045,4.22922289295794e-06,2249419.68895093
"2021-04-07",32086485.2176404,3.63599166817523e-06,2240120.78235609
"2021-04-08",32095687.7748288,3.12597272493085e-06,2230918.2251682
"2021-04-09",32104794.980922,2.68749391329481e-06,2221811.01907547
"2021-04-10",32113807.8238878,2.31052033064571e-06,2212798.17610997
