"","Em","Fu","Un"
"2021-08-11",32735562.9403029,1.95107204489723e-14,1591043.05969716
"2021-08-12",32738040.163384,1.67739603203894e-14,1588565.83661602
"2021-08-13",32740491.7190415,1.44210843246857e-14,1586114.28095851
"2021-08-14",32742917.8732251,1.23982452043184e-14,1583688.12677498
"2021-08-15",32745318.8891287,1.0659148832746e-14,1581287.11087136
"2021-08-16",32747695.0272194,9.16399474008274e-15,1578910.97278065
"2021-08-17",32750046.5452654,7.8785652507518e-15,1576559.45473464
"2021-08-18",32752373.6983641,6.77344238739636e-15,1574232.30163594
"2021-08-19",32754676.7389697,5.8233346193331e-15,1571929.26103035
"2021-08-20",32756955.9169206,5.00649804770223e-15,1569650.0830794
"2021-08-21",32759211.4794667,4.30423878072057e-15,1567394.52053332
"2021-08-22",32761443.6712959,3.70048511053785e-15,1565162.32870417
"2021-08-23",32763652.7345607,3.18141970065608e-15,1562953.26543931
"2021-08-24",32765838.9089049,2.735163366257e-15,1560767.09109515
"2021-08-25",32768002.4314889,2.35150321052314e-15,1558603.56851112
"2021-08-26",32770143.5370161,2.02165889515685e-15,1556462.46298397
"2021-08-27",32772262.4577578,1.73808169603033e-15,1554343.54224229
"2021-08-28",32774359.4235787,1.49428174521068e-15,1552246.57642131
"2021-08-29",32776434.661962,1.28467950566974e-15,1550171.33803799
"2021-08-30",32778488.3980337,1.1044780795707e-15,1548117.60196633
"2021-08-31",32780520.8545871,9.4955342781485e-16,1546085.14541293
"2021-09-01",32782532.2521072,8.16359988443946e-16,1544073.74789283
"2021-09-02",32784522.8087944,7.01849533907583e-16,1542083.19120562
"2021-09-03",32786492.7405883,6.0340141018574e-16,1540113.25941171
"2021-09-04",32788442.2611911,5.18762561238776e-16,1538163.73880898
"2021-09-05",32790371.5820905,4.45995966201299e-16,1536234.41790952
"2021-09-06",32792280.9125833,3.83436309268037e-16,1534325.08741675
"2021-09-07",32794170.4597973,3.29651867745223e-16,1532435.54020269
"2021-09-08",32796040.4287146,2.83411746048153e-16,1530565.57128546
"2021-09-09",32797891.0221929,2.43657705771414e-16,1528714.9778071
"2021-09-10",32799722.4409885,2.09479947142706e-16,1526883.55901153
"2021-09-11",32801534.8837772,1.80096287601421e-16,1525071.11622278
"2021-09-12",32803328.5471766,1.54834260988799e-16,1523277.45282343
"2021-09-13",32805103.6257667,1.33115727676768e-16,1521502.37423329
"2021-09-14",32806860.3121117,1.14443643427195e-16,1519745.68788828
"2021-09-15",32808598.7967805,9.83906841774103e-17,1518007.20321955
"2021-09-16",32810319.2683672,8.45894664220246e-17,1516286.73163282
"2021-09-17",32812021.9135121,7.27241393774722e-17,1514584.08648788
"2021-09-18",32813706.9169216,6.25231565099097e-17,1512899.08307838
"2021-09-19",32815374.4613882,5.37530609977023e-17,1511231.53861179
"2021-09-20",32817024.7278105,4.62131429043373e-17,1509581.27218954
"2021-09-21",32818657.8952126,3.97308457873309e-17,1507948.10478744
"2021-09-22",32820274.1407638,3.41578176200718e-17,1506331.85923622
"2021-09-23",32821873.6397977,2.93665156491115e-17,1504732.36020232
"2021-09-24",32823456.5658311,2.52472874866206e-17,1503149.43416891
"2021-09-25",32825023.090583,2.17058616367161e-17,1501582.90941699
"2021-09-26",32826573.3839932,1.86611900245497e-17,1500032.61600682
"2021-09-27",32828107.6142405,1.6043593152888e-17,1498498.38575949
"2021-09-28",32829625.9477614,1.37931654367582e-17,1496980.05223862
"2021-09-29",32831128.5492677,1.18584042210976e-17,1495477.45073235
"2021-09-30",32832615.5817645,1.0195031105492e-17,1493990.41823548
"2021-10-01",32834087.2065683,8.76497860117032e-18,1492518.79343174
"2021-10-02",32835543.5833237,7.53551892917609e-18,1491062.41667633
"2021-10-03",32836984.8700214,6.4785150216327e-18,1489621.12997858
"2021-10-04",32838411.2230152,5.56977658473079e-18,1488194.77698485
"2021-10-05",32839822.7970385,4.78850648647522e-18,1486783.20296149
"2021-10-06",32841219.7452219,4.11682479937811e-18,1485386.25477814
"2021-10-07",32842602.2191089,3.53935960547275e-18,1484003.78089106
"2021-10-08",32843970.3686733,3.04289519892724e-18,1482635.63132673
"2021-10-09",32845324.3423345,2.61606963512194e-18,1481281.65766554
"2021-10-10",32846664.2869743,2.2491147043841e-18,1479941.71302572
"2021-10-11",32847990.3479526,1.93363237949168e-18,1478615.65204741
"2021-10-12",32849302.6691232,1.66240262078698e-18,1477303.33087684
"2021-10-13",32850601.3928492,1.42921814038195e-18,1476004.6071508
"2021-10-14",32851886.6600189,1.22874234391537e-18,1474719.33998114
"2021-10-15",32853158.6100605,1.05638719875689e-18,1473447.38993952
"2021-10-16",32854417.3809578,9.08208233584161e-19,1472188.61904223
"2021-10-17",32855663.1092647,7.80814266322706e-19,1470942.8907353
"2021-10-18",32856895.9301204,6.71289794507868e-19,1469710.06987964
"2021-10-19",32858115.9772636,5.77128271916299e-19,1468490.02273637
"2021-10-20",32859323.3830477,4.96174744454855e-19,1467282.61695233
"2021-10-21",32860518.2784543,4.2657653248799e-19,1466087.72154574
"2021-10-22",32861700.793108,3.66740830933271e-19,1464905.20689195
"2021-10-23",32862871.0552906,3.15298256772747e-19,1463734.9447094
"2021-10-24",32864029.1919543,2.7107150973877e-19,1462576.80804572
"2021-10-25",32865175.3287361,2.33048428951567e-19,1461430.67126393
"2021-10-26",32866309.5899712,2.00358828890329e-19,1460296.4100288
"2021-10-27",32867432.0987066,1.72254584572406e-19,1459173.90129342
"2021-10-28",32868542.9767142,1.480925101756e-19,1458063.0232858
"2021-10-29",32869642.3445043,1.27319639268535e-19,1456963.65549566
"2021-10-30",32870730.3213386,1.09460569776612e-19,1455875.67866139
"2021-10-31",32871807.0252429,9.41065840639846e-20,1454798.97475709
"2021-11-01",32872872.5730202,8.09062951368267e-20,1453733.42697977
"2021-11-02",32873927.0802633,6.95576048995328e-20,1452678.91973667
"2021-11-03",32874970.6613672,5.98007904227621e-20,1451635.33863273
